author,content,title,predicted_emotion,predicted_sentiment
Mario Benedetti, Todavía tengo casi todos mis dientes  casi todos mis cabellos y poquísimas canas  puedo hacer y deshacer el amor  trepar una escalera de dos en dos  y correr cuarenta metros detrás del ómnibus  o sea que no debería sentirme viejo  pero el grave problema es que antes  no me fijaba en estos detalles.,Síndrome,joy,POS
Mario Benedetti,"Cierro los ojos para disuadirme. Ahora no es, no puede ser la muerte. Está el escarabajo a tropezones, mi sed de ti, la baja tarde inmóvil.  De veras está todo como antes: el cielo tan inerme, la misma soledad tan maciza, la luz que se devora y no comprende.  Todo está como antes de tu rostro sin nubes, todo aguarda como antes la anunciada estación en suspenso, pero también estaba entonces este pánico de no saber huir y no saber alejarme del odio.  De veras todo está destruido, indescifrable, como verdad caída inesperadamente del cielo o del olvido y si alguien, algo, me golpea los párpados es una lenta gota empecinada.  Ahora no es, no puede ser la muerte.  Abro los ojos para convencerme.",Empero,anger,NEG
Mario Benedetti, Porque te tengo y no  porque te pienso  porque la noche está de ojos abiertos  porque la noche pasa y digo amor  porque has venido a recoger tu imagen  y eres mejor que todas tus imágenes  porque eres linda desde el pie hasta el alma  porque eres buena desde el alma a mí  porque te escondes dulce en el orgullo  pequeña y dulce  corazón coraza  porque eres mía  porque no eres mía  porque te miro y muero  y peor que muero  si no te miro amor  si no te miro  porque tú siempre existes dondequiera  pero existes mejor donde te quiero  porque tu boca es sangre  y tienes frío  tengo que amarte amor  tengo que amarte  aunque esta herida duela como dos  aunque te busque y no te encuentre  y aunque  la noche pase y yo te tenga  y no.,Corazón coraza,joy,POS
Mario Benedetti,      Están en algún sitio / concertados       desconcertados / sordos       buscándose / buscándonos       bloqueados por los signos y las dudas       contemplando las verjas de las plazas       los timbres de las puertas / las viejas azoteas       ordenando sus sueños sus olvidos       quizá convalecientes de su muerte privada        nadie les ha explicado con certeza       si ya se fueron o si no       si son pancartas o temblores       sobrevivientes o responsos        ven pasar árboles y pájaros       e ignoran a qué sombra pertenecen        cuando empezaron a desaparecer       hace tres cinco siete ceremonias       a desaparecer como sin sangre       como sin rostro y sin motivo       vieron por la ventana de su ausencia       lo que quedaba atrás / ese andamiaje       de abrazos cielo y humo        cuando empezaron a desaparecer       como el oasis en los espejismos       a desaparecer sin últimas palabras       tenían en sus manos los trocitos       de cosas que querían        están en algún sitio / nube o tumba       están en algún sitio / estoy seguro       allá en el sur del alma       es posible que hayan extraviado la brújula       y hoy vaguen preguntando preguntando       dónde carajo queda el buen amor       porque vienen del odio,Desaparecidos,joy,NEU
Mario Benedetti, De vez en cuando la alegría  tira piedritas contra mi ventana  quiere avisarme que está ahí esperando  pero me siento calmo  casi diría ecuánime  voy a guardar la angustia en un escondite  y luego a tenderme cara al techo  que es una posición gallarda y cómoda  para filtrar noticias y creerlas  quién sabe dónde quedan mis próximas huellas  ni cuándo mi historia va a ser computada  quién sabe qué consejos voy a inventar aún  y qué atajo hallaré para no seguirlos  está bien no jugaré al desahucio  no tatuaré el recuerdo con olvidos  mucho queda por decir y callar  y también quedan uvas para llenar la boca  está bien me doy por persuadido  que la alegría no tire más piedritas  abriré la ventana  abriré la ventana.,Piedritas en la ventana,others,NEU
Mario Benedetti, Cuando éramos niños  los viejos tenían como treinta  un charco era un océano  la muerte lisa y llana  no existía  luego cuando muchachos  los viejos eran gente de cuarenta  un estanque era océano  la muerte solamente  una palabra  ya cuando nos casamos  los ancianos estaban en cincuenta  un lago era un océano  la muerte era la muerte  de los otros  ahora veteranos  ya le dimos alcance a la verdad  el océano es por fin el océano  pero la muerte empieza a ser  la nuestra.,Pasatiempo,joy,NEG
Mario Benedetti, Si a uno  le dan  palos de ciego  la única  respuesta eficaz  es dar  palos  de vidente.,Contraofensiva,others,NEU
Mario Benedetti,Ahora sí que es de noche  y tenebrosa  te acordás cuando el bando reclamaba  una sola confianza por ambiente  y de pocas bujías    el apagón es grande  y extendido    ahora sí que es de noche  y de noche todas las leyes son pardas  la libertad está como boca de lobo  la justicia no se ve ni las manos    el apagón es grande  y extendido    prestame tu luciérnaga de pueblo  su latido sin sombra  su foco inagotable    mirá si estamos todos  como perros guardianes  y después apagala  apagala y después  pensemos o rumiemos o  soñemos con los ojos bien abiertos  hasta que llegue  inexorable  el día.,Oda al apagón,joy,POS
Mario Benedetti,Todo campo es el nuestro  por ejemplo está éste verde dispuesto verde los surcos y los surcos las nubes con sus gordas pantorrillas de lluvia  está tambien el otro campo de pronto abismo recién nacidos muertos sin haberse atrevido a estrenar sus pavores  está el amor de siempre el corazón del tacto la noche de la piel los poros y los poros y la gloria y el beso  está la llamarada la hoguera de la piel el cuerpo brasa infame el hombre que no sabe por qué lo incendia el hombre  verde dispuesto verde campo de pronto abismo los surcos y los surcos las nubes con sus gordas pantorrillas de lluvia recién nacidos muertos sin haberse atrevido a estrenar sus pavores está el amor de siempre está la llamarada el corazón del tacto la hoguera de la piel la noche de la piel el cuerpo brasa infame los poros y los poros y el hombre que no sabe y la gloria y el beso por qué lo incendia el hombre  desde un sitio cualquiera montaña o selva o sótano hay alguien que hace señas agitando su vida  todo campo es el nuestro,Señas del Che,joy,POS
Mario Benedetti,¿De qué se nutre la nostalgia? Uno evoca dulzuras cielos atormentados tormentas celestiales escándalos sin ruido paciencias estiradas árboles en el viento oprobios prescindibles bellezas del mercado cánticos y alborotos lloviznas como pena escopetas de sueño perdones bien ganados pero con esos mínimos no se arma la nostalgia son meros simulacros la válida la única nostalgia es de tu piel.,Nostalgia,joy,POS
Mario Benedetti,Todo verdor perecerá dijo la voz de la escritura como siempre                      implacable  pero también es cierto que cualquier verdor nuevo no podría existir si no hubiera cumplido su ciclo el verdor perecido  de ahí que nuestro verdor esa conjunción un poco extraña de tu primavera                         y de mi otoño seguramente repercute en otros enseña a otros ayuda a que otros rescaten su verdor  por eso aunque las escrituras no lo digan todo verdor                   renacerá.,Todo verdor,joy,POS
Mario Benedetti,     Cuando el no ser queda en suspenso      se abre la vida ese paréntesis      con un vagido universal de hambre       somos hambrientos desde el vamos      y lo seremos hasta el vámonos      después de mucho descubrir      y brevemente amar y acostumbrarnos      a la fallida eternidad       la vida se clausura en vida      la vida ese paréntesis      también se cierra    incurre      en un vagido uiniversal      el último       y entonces sólo entonces      el no ser sigue para siempre,La vida ese paréntesis,others,NEU
Mario Benedetti,"Más de una vez me siento expulsado y con ganas de volver al exilio que me expulsa y entonces me parece que ya no pertenezco a ningún sitio, a nadie. ¿Será en indicio de que nunca más podré no ser un exiliado? ¿Qué aquí o allá o en cualquier parte siempre habrá alguien que vigile y piense, éste a qué viene? Y vengo sin embargo tal vez a compartir cansancio y vértigo desamparo y querencia también a recibir mi cuota de rencores mi reflexiva comisión de amor en verdad a qué vengo no lo sé con certeza pero vengo.",Pero vengo,others,POS
Mario Benedetti,Igual que la de Bécquer el arpa de la araña en un ángulo oscuro espera o desespera el aire de la siesta mueve sin destruirla la seda de cordaje hay una breve escala de silencios por fin una mosca inocente o quizá alucinada sucumbe ante el hechizo y paga con su vida el haber profanado el hermetismo de la sencillez.,La red,joy,POS
Mario Benedetti,     Cómo voy a creer / dijo el fulano      que el mundo se quedó sin utopías       cómo voy a creer      que la esperanza es un olvido      o que el placer una tristeza       cómo voy a creer / dijo el fulano      que el universo es una ruina      aunque lo sea      o que la muerte es el silencio      aunque lo sea       cómo voy a creer      que el horizonte es la frontera      que el mar es nadie      que la noche es nada       cómo voy a creer / dijo el fulano      que tu cuerpo / mengana      no es algo más de lo que palpo      o que tu amor      ese remoto amor que me destinas      no es el desnudo de tus ojos      la parsimonia de tus manos      cómo voy a creer / mengana austral      que sos tan sólo lo que miro      acaricio o penetro       cómo voy a creer / dijo el fulano      que la útopia ya no existe      si vos / mengana dulce      osada / eterna      si vos / sos mi utopía.,Utopías,others,NEU
Mario Benedetti,Cada vez que nos dan clases de amnesia como si nunca hubieran existido los combustibles ojos del alma o los labios de la pena huérfana cada vez que nos dan clases de amnesia y nos conminan a borrar la ebriedad del sufrimiento me convenzo de que mi región no es la farándula de otros  en mi región hay calvarios de ausencia muñones de porvenir/arrabales de duelo pero también candores de mosqueta pianos que arrancan lágrimas cadáveres que miran aún desde sus huertos nostalgias inmóviles en un pozo de otoño sentimientos insoportablemente actuales que se niegan a morir allá en lo oscuro  el olvido está tan lleno de memoria que a veces no caben las remembranzas y hay que tirar rencores por la borda  en el fondo el olvido es un gran simulacro nadie sabe ni puede/ aunque quiera/ olvidar un gran simulacro repleto de fantasmas esos romeros que peregrinaran por el olvido como si fuese El Camino de Santiago  el día o la noche en que el olvido estalle salte en pedazos o crepite/ los recuerdos atroces y los de maravilla quebrará los barrotes de fuego arrastrarán por fin la verdad por el mundo y esa verdad será que no hay olvido.,Ese gran simulacro,sadness,NEG
Mario Benedetti," Las rosas están insoportables en el florero JAIME SABINES Tal vez haya un rigor para encontrarte  el corazón de rosa rigurosa  ya que hablando en rigor no es poca cosa  que tu rigor de rosa no te harte.  Rosa que estás aquí o en cualquier parte  con tu rigor de pétalos, qué sosa  es tu fórmula intacta, tan hermosa  que ya es de rigor desprestigiarte.  Así que abandonándote en tus ramos  o dejándote al borde del camino  aplicarte el rigor es lo mejor.  Y el rigor no permite que te hagamos  liras ni odas cual floreros, sino  apenas el soneto de rigor.",El soneto de rigor,joy,POS
Mario Benedetti, No sé hasta dónde irán los pacificadores con su ruido metálico de paz  pero hay ciertos corredores de seguros que ya colocan pólizas contra la pacificación  y hay quienes reclaman la pena del garrote para los que no quieren ser pacificados  cuando los pacificadores apuntan por supuesto tiran a pacificar  y a veces hasta pacifican dos pájaros de un tiro  es claro que siempre hay algún necio que se niega a ser pacificado por la espalda  o algún estúpido que resiste la pacificación a fuego lento  en realidad somos un país tan peculiar  que quien pacifique a los pacificadores un buen pacificador será.,Oda a la pacificación,others,POS
Mario Benedetti," Todas las parcelas de mi vida tienen algo tuyo y eso en verdad no es nada extraordinario vos lo sabés tan objetivamente como yo. Sin embargo hay algo que quisiera aclararte, cuando digo todas las parcelas, no me refiero solo a esto de ahora, a esto de esperarte y aleluya encontrarte, y carajo perderte, y volverte a encontrar, y ojalá nada más. No me refiero a que de pronto digas, voy a llorar y yo con un discreto nudo en la garganta, bueno llorá. Y que un lindo aguacero invisible nos ampare y quizás por eso salga enseguida el sol. Ni me refiero a solo a que día tras día, aumente el stock de nuestras pequeñas y decisivas complicidades, o que yo pueda o creerme que puedo convertir mis reveses en victorias, o me hagas el tierno regalo de tu más reciente desesperación. No. La cosa es muchísimo más grave. Cuando digo todas las parcelas quiero decir que además de ese dulce cataclismo, también estas reescribiendo mi infancia, esa edad en que uno dice cosas adultas y solemnes y los solemnes adultos las celebran, y vos en cambio sabés que eso no sirve. Quiero decir que estás rearmando mi adolescencia, ese tiempo en que fui un viejo cargado de recelos, y vos sabés en cambio extraer de ese páramo, mi germen de alegría y regarlo mirándolo. Quiero decir que estás sacudiendo mi juventud, ese cántaro que nadie tomó nunca en sus manos, esa sombra que nadie arrimó a su sombra, y vos en cambio sabés estremecerla hasta que empiecen a caer las hojas secas, y quede la armazón de mi verdad sin proezas. Quiero decir que estás abrazando mi madurez esta mezcla de estupor y experiencia, este extraño confín de angustia y nieve, esta bujía que ilumina la muerte, este precipicio de la pobre vida. Como ves es más grave, Muchísimo más grave, Porque con estas y con otras palabras, quiero decir que no sos tan solo, la querida muchacha que sos, sino también las espléndidas o cautelosas mujeres que quise o quiero. Porque gracias a vos he descubierto, (dirás que ya era hora y con razón), que el amor es una bahía linda y generosa, que se ilumina y se oscurece, según venga la vida, una bahía donde los barcos llegan y se van, llegan con pájaros y augurios, y se van con sirenas y nubarrones. Una bahía linda y generosa, Donde los barcos llegan y se van. Pero vos, Por favor, No te vayas",Mucho más grave,joy,POS
Mario Benedetti,Se retrocede con seguridad pero se avanza a tientas uno adelanta manos como un ciego ciego imprudente por añadidura pero lo absurdo es que no es ciego y distingue el relámpago la lluvia los rostros insepultos la ceniza la sonrisa del necio las afrentas un barrunto de pena en el espejo la baranda oxidada con sus pájaros la opaca incertidumbre de los otros enfrentada a la propia incertidumbre se avanza a tientas / lentamente por lo común a contramano de los convictos y confesos en búsqueda tal vez de amores residuales que sirvan de consuelo y recompensa o iluminen un pozo de nostalgias se avanza a tientas / vacilante no importan la distancia ni el horario ni que el futuro sea una vislumbre o una pasión deshabitada a tientas hasta que una noche se queda uno sin cómplices ni tacto y a ciegas otra vez y para siempre se introduce en un túnel o destino que no se sabe dónde acaba.,A tientas,others,POS
Mario Benedetti,"Cuando era como vos me enseñaron los viejos y también las maestras bondadosas y miopes que libertad o muerte era una redundancia a quien se le ocurría en un país donde los presidentes andaban sin capangas.  Que la patria o la tumba era otro pleonasmo ya que la patria funcionaba bien en las canchas y en los pastoreos.  Realmente no sabían un corno pobrecitos creían que libertad era tan solo una palabra aguda que muerte era tan solo grave o llana y cárceles por suerte una palabra esdrújula.  Olvidaban poner el acento en el hombre.  La culpa no era exactamente de ellos sino de otros más duros y siniestros y estos sí cómo nos ensartaron en la limpia república verbal cómo idealizaron la vidurria de vacas y estancieros y cómo nos vendieron un ejército que tomaba su mate en los cuarteles.  Uno no siempre hace lo que quiere uno no siempre puede por eso estoy aquí mirándote y echándote de menos.  Por eso es que no puedo despeinarte el jopo ni ayudarte con la tabla del nueve ni acribillarte a pelotazos.  Vos ya sabés que tuve que elegir otros juegos y que los jugué en serio.  Y jugué por ejemplo a los ladrones y los ladrones eran policías.  Y jugué por ejemplo a la escondida y si te descubrían te mataban y jugué a la mancha y era de sangre.  Botija aunque tengas pocos años creo que hay que decirte la verdad para que no la olvides.  Por eso no te oculto que me dieron picana que casi me revientan los riñones todas estas llagas, hinchazones y heridas que tus ojos redondos miran hipnotizados son durísimos golpes son botas en la cara demasiado dolor para que te lo oculte demasiado suplicio para que se me borre.  Pero también es bueno que conozcas que tu viejo calló o puteó como un loco que es una linda forma de callar.  Que tu viejo olvidó todos los números (por eso no podría ayudarte en las tablas) y por lo tanto todos los teléfonos.  Y las calles y el color de los ojos y los cabellos y las cicatrices y en qué esquina en qué bar qué parada qué casa.  Y acordarse de vos de tu carita lo ayudaba a callar.  Una cosa es morirse de dolor y otra cosa es morirse de vergüenza.  Por eso ahora me podés preguntar y sobre todo puedo yo responder.  Uno no siempre hace lo que quiere pero tiene el derecho de no hacer lo que no quiere.  Llora nomás botija son macanas que los hombres no lloran aquí lloramos todos.  Gritamos, berreamos, moqueamos, chillamos, maldecimos porque es mejor llorar que traicionar porque es mejor llorar que traicionarse.  Llorá pero no olvides.",Hombre preso que mira a su hijo,anger,NEG
Mario Benedetti,Qual è l'incarnato dell`onda? Valerio Magrelli  ¿Qué es en definitiva el mar? ¿por qué seduce? ¿por qué tienta? suele invadirnos como un dogma y nos obliga a ser orilla  nadar es una forma de abrazarlo de pedirle otra vez revelaciones pero los golpes de agua no son magia hay olas tenebrosas que anegan la osadía y neblinas que todo lo confunden  el mar es una alianza o un sarcófago del infinito trae mensajes ilegibles y estampas ignoradas del abismo trasmite a veces una turbadora tensa y elemental melancolía  el mar no se avergüenza de sus náufragos carece totalmente de conciencia y sin embargo atrae tienta llama lame los territorios del suicida y cuenta historias de final oscuro  ¿qué es en definitiva el mar? ¿Por qué fascina? ¿por qué tienta? es menos que un azar / una zozobra / un argumento contra dios / seduce por ser tan extranjero y tan nosotros tan hecho a la medida de nuestra sinrazón y nuestro olvido  es probable que nunca haya respuesta pero igual seguiremos preguntando ¿qué es por ventura el mar? ¿por qué fascina el mar? ¿qué significa ese enigma que queda más acá y más allá del horizonte?,El mar,others,NEU
Mario Benedetti,Oh marine oh boy una de tus dificultades consiste en que no sabes distinguir el ser del estar para ti todo es to be así que probemos a aclarar las cosas  por ejemplo una mujer es buena cuando entona desafinadamente los salmos y cada dos años cambia el refrigerador y envía mensualmente su perro al analista y sólo enfrenta el sexo los sábados de noche  en cambio una mujer está buena cuando la miras y pones los perplejos ojos en blanco y la imaginas y la imaginas y la imaginas y hasta crees que tomando un martini te vendrá el coraje pero ni así  por ejemplo un hombre es listo cuando obtiene millones por teléfono y evade la conciencia y los impuestos y abre una buena póliza de seguros a cobrar cuando llegue a sus setenta y sea el momento de viajar en excursión a capri y a parís y consiga violar a la gioconda en pleno louvre             con la vertiginosa polaroid  en cambio un hombre está listo cuando ustedes oh marine oh boy aparecen en el horizonte para inyectarle democracia.,Ser y estar,joy,POS
Mario Benedetti,De vez en cuando hay que hacer       una pausa  contemplarse a sí mismo       sin la fruición cotidiana  examinar el pasado       rubro por rubro       etapa por etapa       baldosa por baldosa  y no llorarse las mentiras sino cantarse las verdades.,Pausa,others,POS
Mario Benedetti,Por la memoria vagamos descalzos seguimos el garabato de la lluvia hasta la tristeza que es el hogar destino la tristeza almacena los desastres del alma o sea lo mejorcito de nosotros mismos digamos esperanzas sacrificios amores.  A la tristeza no hay quien la despoje es transparente como un rayo de luna fiel a determinadas alegrías.  Nacemos tristes y morimos tristes pero en el entretiempo amamos cuerpos cuya triste belleza es un milagro.  Vamos descalzos en peregrinación triste tristeza llena eres de gracia tu savia dulce nos acepta tristes.  El garabato de la lluvia nos conduce hasta el hogar destino que siempre has sido tristeza enamorada y clandestina  Y allí rodeada de tus frágiles dogmas de tus lágrimas secas / de tu siglo de sueños nos abrazas como anticipo del placer.,Triste nº1,sadness,NEG
Mario Benedetti,No puede ser. Esta ciudad es de mentira. No puede ser que las palmeras se doblen a acariciar la crin de los caballos y los ojos de las putas sean tiernos como los de una Venus de Lucas Cranach no puede ser que el viento levante las polleras y que todas las piernas sean lindas y que los consejales vayan en bicicleta del otoño al verano y viceversa.  No puede ser. Esta ciudad es de mentira. No puede ser que nadie sienta rubor de mi pereza y los suspiros me entusiasmen tanto como los hurras y pueda escupir con inocencia y alegría no ya en el retrato sino en un señor no puede ser que cada azotea con antenas encuentre al fin su rayo justiciero y puntual y los suicidas miren el abismo y se arrojen como desde un recuerdo a una piscina.  No puede ser. Esta ciudad es de mentira. No puede ser que las brujas sonrían a quemarropa y que mi insomnio cruja como un hueso y el subjefe y el jefe de policía lloren como un sauce y un cocodrilo respectivamente no puede ser que yo esté corrigiendo las pruebas de mi propio elogiosísimo obituario y la ambulancia avance sin hacerse notar y las campanas suenen sólo como campanas.  No puede ser. Esta ciudad es de mentira. O es de verdad y entonces está bien que me encierren.,Esta ciudad es de mentira,anger,NEG
Mario Benedetti, No te quedes inmóvil  al borde del camino  no congeles el júbilo  no quieras con desgana  no te salves ahora  ni nunca  no te salves  no te llenes de calma  no reserves del mundo  sólo un rincón tranquilo  no dejes caer los párpados  pesados como juicios  no te quedes sin labios  no te duermas sin sueño  no te pienses sin sangre  no te juzgues sin tiempo  pero si  pese a todo  no puedes evitarlo  y congelas el júbilo  y quieres con desgana  y te salvas ahora  y te llenas de calma  y reservas del mundo  sólo un rincón tranquilo  y dejas caer los párpados  pesados como juicios  y te secas sin labios  y te duermes sin sueño  y te piensas sin sangre  y te juzgas sin tiempo  y te quedas inmóvil  al borde del camino  y te salvas  entonces  no te quedes conmigo.,No te salves,joy,NEU
Mario Benedetti,    ¿Cómo será el mundo cuando no pueda yo mirarlo          ni escucharlo ni tocarlo ni olerlo ni gustarlo?      ¿cómo serán los demás sin este servidor?      ¿o existirán tal como yo existo          sin los demás que se me fueron?      sin embargo      ¿por qué algunos de éstos son una foto en sepia          y otros una nobe en los ojos          y otros la mano de mi brazo?      ¿cómo seremos todos sin nosotros?      ¿qué color qué ruidos qué piel suave qué sabor qué aroma          tendrá el ben(mal)dito mundo?      ¿qué sentido tendrá llegar a ser protagonista del silencio?          ¿vanguardia del olvido?      ¿qué será del amor y el sol de las once          y el crepúsculo triste sin causa valedera?      ¿o acaso estas preguntas son las mismas          cada vez que alguien llega a los sesenta?       ya sabemos cómo es sin las respuestas      mas ¿cómo será el mundo sin preguntas?,Happy birthday,joy,POS
Mario Benedetti,"Vuelves, día de siempre, rompiendo el aire justamente donde el aire había crecido como muros.  Pero nos iluminas brutalmente y en la sencilla náusea de tu claridad sabemos cuándo se nos caerán los ojos, el corazón, la piel de los recuerdos.  Claro, mientras tanto hay oraciones, hay pétalos, hay ríos, hay la ternura como un viento húmedo. Sólo mientras tanto.",Sólo mientras tanto,joy,NEG
Mario Benedetti,     Hermano cuerpo estás cansado      desde el cerebro a la misericordia      del paladar al valle del deseo       cuando me dices / alma ayúdame      siento que me conmuevo hasta el agobio      que el mismísimo aire es vulnerable       hermano cuerpo has trabajado      a músculo y a estómago y a nervios      a riñones y a bronquios y a diafragma       cuando me dices / alma ayúdame      sé que estás condenado / eres materia      y la materia tiende a desfibrarse       hermano cuerpo te conosco      fui huésped y anfitrión de tus dolores      modesta rampa de tu sexo ávido       cuando me pides / alma ayúdame      siento que el frío me envilece      que se me van la magia y la dulzura       hermano cuerpo eres fugaz      coyuntural efímero instantáneo      tras un jadeo acabarás inmovil       y yo que normalmente soy la vida      me quedaré abrazada a tus huesitos      incapaz de ser alma sin tus vísceras.,Desde el alma (vals),sadness,POS
